Question,Correct Answer,Wrong Option,Wrong Option,Wrong Option
Test question: How do you exit Vi(m)?,ESC :q,Control-C,C-x C-c,Alt-F4
Breaking the Enigma machine (WW2) is commonly attributed to which place?,Bletchley Park,Bell Labs,Menlo Park,Torchwood
Elixir (the language) is based on which runtime platform?,Erlang VM,JVM,CLR,V8
"The Doctor's ship, the TARDIS, is a... what?",Police Call Box,Gourd-shaped Cigar,Phone Booth,Flying Saucer
The engines commonly used in larger commercial aircraft are... of what type?,TurboFans,TurboJets,TurboProps,RamJets
What's a Paamayim Nekudotayim?,A double-colon,The apocalypse,A type of bread,A made up word
Where do long period comets (supposedly) come from?,Oort Cloud,Kuiper Belt,Asteroid Belt,China
"Besides Monkey Island itself, where does ""The Secret of Monkey Island"" take place?",Mêlée Island,Plunder Island,Scabb Island,Dinky Island
Who wrote The Martian?,Andy Weir,Ridley Scott,Phillip K. Dick,H.G. Wells
"Besides C. Ronaldo, which other portuguese figure appeared in The Simpsons?",Carlos Lopes,Salazar,Emplastro,Mário Soares
"Place the following in ascending order: π, √3, e, √2","√2, √3, e, π","π, e, √3, √2","π, √3, √2, e","√2, π, e, √3"
Test question: Who is the original creator of Linux's systemd?,Lennart Poettering,Cthulhu,Sauron,Zalgo
Who wrote the Three Laws of Robotics?,Isaac Asimov,Dean Kamen,Karel Čapek,Norbert Wiener
How many different DNA base pairs are there?,2,4,3,6
"In the name H. R. Giger, what does the H. R. stand for?",Hans Rudolf,Harold Ramis,Honecker Richthofen,Herbert Richers
IBM recently open-sourced their JVM. What's its name?,OpenJ9,HotSpot,IcedTea,Jazelle
"From Rick and Morty, what does Rick’s catchphase “Wubba Lubba Dub Dub” mean?","I am in great pain, please help me.",Nothing,Peace among worlds,I don't give a ${F_BOMB}!!!
"Besides Gorilla Glass, Corning is best known for... what?",Fiber Optics,Artificial Diamonds,Wood Furniture,Car Tires
Who's the author of the Blowfish cipher?,Bruce Schneier,Vincent Rijmen,D.J. Bernstein,Ralph Merkle
"Besides ""Plan 9 from Bell Labs,"" what is Rob Pike best known for?",Go,Emacs,C,Rust
ARM (the architecture) debuted in which brand of computers?,Acorn,Amiga,Apple I,ZX Spectrum
What's the Baader-Meinhof phenomenon?,Frequency Illusion,Gambler's Fallacy,Confirmation Bias,Not Invented Here Syndrome
Test question: TDD is a...,Methodology,Myth,Sexually Transmitted Disease,Trap
Who is the creator of Bitcoin?,Satoshi Nakamoto,Yukihiro Matsumoto,Vitalik Buterin,Richard Stallman
What's the Enterprise's registry number (license plate) in Star Trek TOS?,NCC-1701,OV-101,NX-01,NCC-1764
"When Steve Jobs left Apple in 1985, he then founded which company?",NeXT,Be Inc.,Copland,Atari
"SCUMM, the game engine, was first used by which game?",Manic Mansion,The Secret of Monkey Island,Full Throttle,Manic Miner
What is Google's OS that's speculated to be an Android replacement?,Fuchsia,Plan 9,Singularity,Illumos
