Question,Correct Answer,Wrong Option,Wrong Option,Wrong Option,Trivia / Comments
Test question: What is a monad?,Well...,@#&!,Please don't,Don't bother,
"If I'm using Leiningen, that means I'm programming in...",Clojure,Elixir,Erlang,PHP,"""for automating Clojure projects without setting your hair on fire"""
"In cars, what's a CAN?",a type of bus,a moving toilet,a sensor used in self-driving,none of the other options,Controller Area Network bus.
"In ""Alien"" (1979), only Ripley and the ship's cat survive. What's the name of the cat?",Jones,Newt,Ash,Kane,"Also called ""Jonesy"" during the movie. It's the only original character to survive the original trilogy."
What was Kubernetes' original name?,Project Seven,Project Locutus,Borg,Unimatrix Zero One,"Seven of Nine, a friendlier Borg."
"Most ""International Atomic Time"" (TAI) clocks use which atomic element?",Caesium,Americium,Uranium,Trilithium,"The most common are Caesium-133 fountain clocks. It's used to keep a Quartz crystal stable, which is the actual clock part."
"Which elusive figure wrote the legendary portuguese game ""Paradise Café""?",Damatta,Mafadã,Tony Silva,Cachucho,
"Who designed ""The Thing"" (a spy device also known as ""The Great Seal Bug"")?",Leon Theremin,Igor Sikorsky,Mikhail Kalashnikov,Peter Carl Fabergé,"Unpowered microphone implanted by the soviets on a wooden carving of the US Great Seal, used to spy on the US embassador in Moscow."
"Famous for its ""Seven Bridges"" problem, what's the present day name of Königsberg?",Kaliningrad,Gdansk,Murmansk,St. Petersburg,"Walk crossing each bridges once and only once. Proved impossible by Euler in 1736, kickstarting graph theory. German until WW2."
Which company created TypeScript?,Microsoft,Mozilla,Google,Facebook,
Which material was used for the hydrogen bags inside most Zeppelin airships?,Cow Guts,Sheep Skins,Pig Bladders,Vynil,"Called goldbeater's skin. It took about 100,000 cows to make the gas bags for a single WW1-era Zeppelin (later models were even bigger)."
"Test question: In ""The Quest for the Holy Grail"", the Grail was hidden in the Castle of...",Aaarrrghhh,Urrrggghhh,Errrrrgghhh,Orrrrghhh,
Who invented logarithms?,John Napier,Isaac Newton,Gottfried Leibniz,Gilbert Vernam,1614. Replacing multiplication with addition. Logarithm tables were a major driving force for building historical computers.
"What has C. A. R. Hoare called his ""Billion-dollar Mistake""?",Null Reference,NPM,Quicksort,Hoare Logic,Invention of the null reference in 1965 for ALGOL W.
How many digits (in US short scale) does the closest approximation of π to date have?,31.4 trillion,22.4 trillion,3.14 million,3.14159 billion,"By Emma Haruka Iwao, a Google employee on March 14."
"The phrase ""I have come here to chew bubble gum and kick ass"" comes from...",They Live,Duke Nukem 3D,Terminator,Doom,"""I have come here to chew bubblegum and kick ass...and I'm all out of bubblegum."" Roddy Piper, 1988, John Carpenter (director)."
What kind of memory did the AGC (Apollo Guidance Computer) use as ROM?,Core Rope,Diamonds,Delay Lines,Vinyl Records,
"In ""Black Mirror: Bandersnatch"", Stefan is writing his game for which company?",Tuckersoft,A&F Software,Atari,Sinclair,
Who's the author of Vim?,Bram Moolenaar,Bill Joy,Richard Stallman,Beelzebub,"Vim is a clone of Vi, not based on it."
"The ship sent to Jupiter in ""2010: Odyssey Two"" to recover the Discovery One is the...",Alexei Leonov,Endeavour,Lewis and Clarke,Red Dwarf,Alexei Leonov was the first man to walk in space.
"Which (compression) parameter would you use to create a "".tar.bz2"" archive?",(small) j,(small) z,(capital) Z,(small) x,
What was Linux's original name?,Freax,Tux,Lynx,Finnix,The name was changed by Ari Lemmke after Linus uploaded the source to ftp.funet.fi
Test question: What is widely regarded as the one true editor?,Emacs,Vi,Visual Studio Code,Eclipse,Ed is the standard editor.
"What does the ""LZ"" in LZ77 (the compression algorithm) means?",Lempel-Ziv,Lossless Zip,Lerdorf-Zimmerman,Lamport-Zuse, Abraham Lempel and Jacob Ziv. Used in ZIP and PNG.
